Neurons;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10
Layers;1;1;1;2;2;2;3;3;3;1;1;1;2;2;2;3;3;3;1;1;1;2;2;2;3;3;3
Metrics;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy
Learning rate;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.1;0.983;0.449;0.446;0.767;0.813;0.803;0.0;0.0;0.539;0.0;0.0;0.546;0.93;0.975;0.954;0.933;0.817;0.864;1.0;0.454;0.454;0.867;0.918;0.893;0.717;0.967;0.854
0.05;0.983;0.449;0.446;0.767;0.813;0.803;0.0;0.0;0.539;0.0;0.0;0.546;0.93;0.975;0.954;0.933;0.817;0.864;1.0;0.454;0.454;0.867;0.938;0.901;0.717;0.967;0.854
0.01;0.983;0.449;0.446;0.767;0.813;0.803;0.0;0.0;0.539;0.0;0.0;0.546;0.93;0.975;0.954;0.933;0.817;0.864;1.0;0.454;0.454;0.867;0.938;0.901;0.717;0.967;0.854
