Neurons;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10
Layers;1;1;1;2;2;2;3;3;3;1;1;1;2;2;2;3;3;3;1;1;1;2;2;2;3;3;3
Metrics;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy;Recall;Precision;Accuracy
Learning rate;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.1;0.85;0.971;0.916;0.933;0.7;0.775;0.7;0.884;0.809;0.0;0.0;0.546;0.0;0.0;0.546;0.0;0.0;0.546;1.0;0.454;0.454;0.883;0.866;0.868;1.0;0.454;0.454
0.05;0.85;0.971;0.916;0.933;0.7;0.775;0.7;0.884;0.809;0.0;0.0;0.546;0.0;0.0;0.546;0.0;0.0;0.546;1.0;0.454;0.454;0.883;0.855;0.861;1.0;0.454;0.454
0.01;0.85;0.971;0.916;0.933;0.7;0.775;0.7;0.884;0.809;0.0;0.0;0.546;0.0;0.0;0.546;0.0;0.0;0.546;1.0;0.454;0.454;0.883;0.855;0.861;1.0;0.454;0.454
